,player,team,lg,season,replaced
0,Bam Adebayo,East,NBA,2024,False
1,Giannis Antetokounmpo,East,NBA,2024,False
2,Paolo Banchero,East,NBA,2024,False
3,Scottie Barnes,East,NBA,2024,False
4,Jaylen Brown,East,NBA,2024,False
5,Jalen Brunson,East,NBA,2024,False
6,Joel Embiid,East,NBA,2024,False
7,Tyrese Haliburton,East,NBA,2024,False
8,Damian Lillard,East,NBA,2024,False
9,Tyrese Maxey,East,NBA,2024,False
10,Donovan Mitchell,East,NBA,2024,False
11,Julius Randle,East,NBA,2024,False
12,Jayson Tatum,East,NBA,2024,False
13,Trae Young,East,NBA,2024,False
14,Devin Booker,West,NBA,2024,False
15,Stephen Curry,West,NBA,2024,False
16,Anthony Davis,West,NBA,2024,False
17,Luka Dončić,West,NBA,2024,False
18,Kevin Durant,West,NBA,2024,False
19,Anthony Edwards,West,NBA,2024,False
20,Paul George,West,NBA,2024,False
21,Shai Gilgeous-Alexander,West,NBA,2024,False
22,LeBron James,West,NBA,2024,False
23,Nikola Jokić,West,NBA,2024,False
24,Kawhi Leonard,West,NBA,2024,False
25,Karl-Anthony Towns,West,NBA,2024,False
26,Bam Adebayo,Giannis,NBA,2023,False
27,Giannis Antetokounmpo,Giannis,NBA,2023,False
28,DeMar DeRozan,Giannis,NBA,2023,False
29,Kevin Durant,Giannis,NBA,2023,False
30,Shai Gilgeous-Alexander,Giannis,NBA,2023,False
31,Jrue Holiday,Giannis,NBA,2023,False
32,Damian Lillard,Giannis,NBA,2023,False
33,Lauri Markkanen,Giannis,NBA,2023,False
34,Donovan Mitchell,Giannis,NBA,2023,False
35,Ja Morant,Giannis,NBA,2023,False
36,Domantas Sabonis,Giannis,NBA,2023,False
37,Pascal Siakam,Giannis,NBA,2023,False
38,Jayson Tatum,Giannis,NBA,2023,False
39,Jaylen Brown,LeBron,NBA,2023,False
40,Stephen Curry,LeBron,NBA,2023,False
41,Luka Dončić,LeBron,NBA,2023,False
42,Anthony Edwards,LeBron,NBA,2023,False
43,Joel Embiid,LeBron,NBA,2023,False
44,De'Aaron Fox,LeBron,NBA,2023,False
45,Paul George,LeBron,NBA,2023,False
46,Tyrese Haliburton,LeBron,NBA,2023,False
47,Kyrie Irving,LeBron,NBA,2023,False
48,Jaren Jackson Jr.,LeBron,NBA,2023,False
49,LeBron James,LeBron,NBA,2023,False
50,Nikola Jokić,LeBron,NBA,2023,False
51,Julius Randle,LeBron,NBA,2023,False
52,Zion Williamson,LeBron,NBA,2023,False
53,LaMelo Ball,Team Durant,NBA,2022,False
54,Devin Booker,Team Durant,NBA,2022,False
55,Kevin Durant,Team Durant,NBA,2022,False
56,Joel Embiid,Team Durant,NBA,2022,False
57,Rudy Gobert,Team Durant,NBA,2022,False
58,Draymond Green,Team Durant,NBA,2022,False
59,Zach LaVine,Team Durant,NBA,2022,False
60,Khris Middleton,Team Durant,NBA,2022,False
61,Ja Morant,Team Durant,NBA,2022,False
62,Dejounte Murray,Team Durant,NBA,2022,False
63,Jayson Tatum,Team Durant,NBA,2022,False
64,Karl-Anthony Towns,Team Durant,NBA,2022,False
65,Andrew Wiggins,Team Durant,NBA,2022,False
66,Trae Young,Team Durant,NBA,2022,False
67,Jarrett Allen,Team LeBron,NBA,2022,False
68,Giannis Antetokounmpo,Team LeBron,NBA,2022,False
69,Jimmy Butler,Team LeBron,NBA,2022,False
70,Stephen Curry,Team LeBron,NBA,2022,False
71,DeMar DeRozan,Team LeBron,NBA,2022,False
72,Luka Dončić,Team LeBron,NBA,2022,False
73,Darius Garland,Team LeBron,NBA,2022,False
74,James Harden,Team LeBron,NBA,2022,False
75,LeBron James,Team LeBron,NBA,2022,False
76,Nikola Jokić,Team LeBron,NBA,2022,False
77,Donovan Mitchell,Team LeBron,NBA,2022,False
78,Chris Paul,Team LeBron,NBA,2022,False
79,Fred VanVleet,Team LeBron,NBA,2022,False
80,Bradley Beal,Team Durant,NBA,2021,False
81,Devin Booker,Team Durant,NBA,2021,False
82,Mike Conley,Team Durant,NBA,2021,False
83,Anthony Davis,Team Durant,NBA,2021,False
84,Kevin Durant,Team Durant,NBA,2021,False
85,Joel Embiid,Team Durant,NBA,2021,False
86,James Harden,Team Durant,NBA,2021,False
87,Kyrie Irving,Team Durant,NBA,2021,False
88,Zach LaVine,Team Durant,NBA,2021,False
89,Kawhi Leonard,Team Durant,NBA,2021,False
90,Donovan Mitchell,Team Durant,NBA,2021,False
91,Julius Randle,Team Durant,NBA,2021,False
92,Jayson Tatum,Team Durant,NBA,2021,False
93,Nikola Vučević,Team Durant,NBA,2021,False
94,Zion Williamson,Team Durant,NBA,2021,False
95,Giannis Antetokounmpo,Team LeBron,NBA,2021,False
96,Jaylen Brown,Team LeBron,NBA,2021,False
97,Stephen Curry,Team LeBron,NBA,2021,False
98,Luka Dončić,Team LeBron,NBA,2021,False
99,Paul George,Team LeBron,NBA,2021,False
100,Rudy Gobert,Team LeBron,NBA,2021,False
101,LeBron James,Team LeBron,NBA,2021,False
102,Nikola Jokić,Team LeBron,NBA,2021,False
103,Damian Lillard,Team LeBron,NBA,2021,False
104,Chris Paul,Team LeBron,NBA,2021,False
105,Domantas Sabonis,Team LeBron,NBA,2021,False
106,Ben Simmons,Team LeBron,NBA,2021,False
107,Bam Adebayo,Team Giannis,NBA,2020,False
108,Giannis Antetokounmpo,Team Giannis,NBA,2020,False
109,Jimmy Butler,Team Giannis,NBA,2020,False
110,Joel Embiid,Team Giannis,NBA,2020,False
111,Rudy Gobert,Team Giannis,NBA,2020,False
112,Brandon Ingram,Team Giannis,NBA,2020,False
113,Kyle Lowry,Team Giannis,NBA,2020,False
114,Khris Middleton,Team Giannis,NBA,2020,False
115,Donovan Mitchell,Team Giannis,NBA,2020,False
116,Pascal Siakam,Team Giannis,NBA,2020,False
117,Kemba Walker,Team Giannis,NBA,2020,False
118,Trae Young,Team Giannis,NBA,2020,False
119,Devin Booker,Team LeBron,NBA,2020,False
120,Anthony Davis,Team LeBron,NBA,2020,False
121,Luka Dončić,Team LeBron,NBA,2020,False
122,James Harden,Team LeBron,NBA,2020,False
123,LeBron James,Team LeBron,NBA,2020,False
124,Nikola Jokić,Team LeBron,NBA,2020,False
125,Kawhi Leonard,Team LeBron,NBA,2020,False
126,Damian Lillard,Team LeBron,NBA,2020,False
127,Chris Paul,Team LeBron,NBA,2020,False
128,Domantas Sabonis,Team LeBron,NBA,2020,False
129,Ben Simmons,Team LeBron,NBA,2020,False
130,Jayson Tatum,Team LeBron,NBA,2020,False
131,Russell Westbrook,Team LeBron,NBA,2020,False
132,Giannis Antetokounmpo,Team Giannis,NBA,2019,False
133,Stephen Curry,Team Giannis,NBA,2019,False
134,Joel Embiid,Team Giannis,NBA,2019,False
135,Paul George,Team Giannis,NBA,2019,False
136,Blake Griffin,Team Giannis,NBA,2019,False
137,Nikola Jokić,Team Giannis,NBA,2019,False
138,Kyle Lowry,Team Giannis,NBA,2019,False
139,Khris Middleton,Team Giannis,NBA,2019,False
140,Dirk Nowitzki,Team Giannis,NBA,2019,False
141,Victor Oladipo,Team Giannis,NBA,2019,True
142,D'Angelo Russell,Team Giannis,NBA,2019,False
143,Nikola Vučević,Team Giannis,NBA,2019,False
144,Kemba Walker,Team Giannis,NBA,2019,False
145,Russell Westbrook,Team Giannis,NBA,2019,False
146,LaMarcus Aldridge,Team LeBron,NBA,2019,False
147,Bradley Beal,Team LeBron,NBA,2019,False
148,Anthony Davis,Team LeBron,NBA,2019,False
149,Kevin Durant,Team LeBron,NBA,2019,False
150,James Harden,Team LeBron,NBA,2019,False
151,Kyrie Irving,Team LeBron,NBA,2019,False
152,LeBron James,Team LeBron,NBA,2019,False
153,Kawhi Leonard,Team LeBron,NBA,2019,False
154,Damian Lillard,Team LeBron,NBA,2019,False
155,Ben Simmons,Team LeBron,NBA,2019,False
156,Klay Thompson,Team LeBron,NBA,2019,False
157,Karl-Anthony Towns,Team LeBron,NBA,2019,False
158,Dwyane Wade,Team LeBron,NBA,2019,False
159,LaMarcus Aldridge,Team LeBron,NBA,2018,False
160,Bradley Beal,Team LeBron,NBA,2018,False
161,DeMarcus Cousins,Team LeBron,NBA,2018,True
162,Anthony Davis,Team LeBron,NBA,2018,False
163,Goran Dragić,Team LeBron,NBA,2018,False
164,Andre Drummond,Team LeBron,NBA,2018,False
165,Kevin Durant,Team LeBron,NBA,2018,False
166,Paul George,Team LeBron,NBA,2018,False
167,Kyrie Irving,Team LeBron,NBA,2018,False
168,LeBron James,Team LeBron,NBA,2018,False
169,Kevin Love,Team LeBron,NBA,2018,True
170,Victor Oladipo,Team LeBron,NBA,2018,False
171,Kristaps Porziņģis,Team LeBron,NBA,2018,True
172,Kemba Walker,Team LeBron,NBA,2018,False
173,John Wall,Team LeBron,NBA,2018,True
174,Russell Westbrook,Team LeBron,NBA,2018,False
175,Giannis Antetokounmpo,Team Stephen,NBA,2018,False
176,Jimmy Butler,Team Stephen,NBA,2018,True
177,Stephen Curry,Team Stephen,NBA,2018,False
178,DeMar DeRozan,Team Stephen,NBA,2018,False
179,Joel Embiid,Team Stephen,NBA,2018,False
180,Draymond Green,Team Stephen,NBA,2018,False
181,James Harden,Team Stephen,NBA,2018,False
182,Al Horford,Team Stephen,NBA,2018,False
183,Damian Lillard,Team Stephen,NBA,2018,False
184,Kyle Lowry,Team Stephen,NBA,2018,False
185,Klay Thompson,Team Stephen,NBA,2018,False
186,Karl-Anthony Towns,Team Stephen,NBA,2018,False
187,Giannis Antetokounmpo,East,NBA,2017,False
188,Carmelo Anthony,East,NBA,2017,False
189,Jimmy Butler,East,NBA,2017,False
190,DeMar DeRozan,East,NBA,2017,False
191,Paul George,East,NBA,2017,False
192,Kyrie Irving,East,NBA,2017,False
193,LeBron James,East,NBA,2017,False
194,Kevin Love,East,NBA,2017,True
195,Kyle Lowry,East,NBA,2017,False
196,Paul Millsap,East,NBA,2017,False
197,Isaiah Thomas,East,NBA,2017,False
198,Kemba Walker,East,NBA,2017,False
199,John Wall,East,NBA,2017,False
200,DeMarcus Cousins,West,NBA,2017,False
201,Stephen Curry,West,NBA,2017,False
202,Anthony Davis,West,NBA,2017,False
203,Kevin Durant,West,NBA,2017,False
204,Marc Gasol,West,NBA,2017,False
205,Draymond Green,West,NBA,2017,False
206,James Harden,West,NBA,2017,False
207,Gordon Hayward,West,NBA,2017,False
208,DeAndre Jordan,West,NBA,2017,False
209,Kawhi Leonard,West,NBA,2017,False
210,Klay Thompson,West,NBA,2017,False
211,Russell Westbrook,West,NBA,2017,False
212,Carmelo Anthony,East,NBA,2016,False
213,Chris Bosh,East,NBA,2016,True
214,Jimmy Butler,East,NBA,2016,True
215,DeMar DeRozan,East,NBA,2016,False
216,Andre Drummond,East,NBA,2016,False
217,Pau Gasol,East,NBA,2016,False
218,Paul George,East,NBA,2016,False
219,Al Horford,East,NBA,2016,False
220,LeBron James,East,NBA,2016,False
221,Kyle Lowry,East,NBA,2016,False
222,Paul Millsap,East,NBA,2016,False
223,Isaiah Thomas,East,NBA,2016,False
224,Dwyane Wade,East,NBA,2016,False
225,John Wall,East,NBA,2016,False
226,LaMarcus Aldridge,West,NBA,2016,False
227,Kobe Bryant,West,NBA,2016,False
228,DeMarcus Cousins,West,NBA,2016,False
229,Stephen Curry,West,NBA,2016,False
230,Anthony Davis,West,NBA,2016,False
231,Kevin Durant,West,NBA,2016,False
232,Draymond Green,West,NBA,2016,False
233,James Harden,West,NBA,2016,False
234,Kawhi Leonard,West,NBA,2016,False
235,Chris Paul,West,NBA,2016,False
236,Klay Thompson,West,NBA,2016,False
237,Russell Westbrook,West,NBA,2016,False
238,Carmelo Anthony,East,NBA,2015,False
239,Chris Bosh,East,NBA,2015,False
240,Jimmy Butler,East,NBA,2015,False
241,Pau Gasol,East,NBA,2015,False
242,Al Horford,East,NBA,2015,False
243,Kyrie Irving,East,NBA,2015,False
244,LeBron James,East,NBA,2015,False
245,Kyle Korver,East,NBA,2015,False
246,Kyle Lowry,East,NBA,2015,False
247,Paul Millsap,East,NBA,2015,False
248,Jeff Teague,East,NBA,2015,False
249,Dwyane Wade,East,NBA,2015,False
250,John Wall,East,NBA,2015,False
251,LaMarcus Aldridge,West,NBA,2015,False
252,Kobe Bryant,West,NBA,2015,False
253,DeMarcus Cousins,West,NBA,2015,False
254,Stephen Curry,West,NBA,2015,False
255,Anthony Davis,West,NBA,2015,False
256,Tim Duncan,West,NBA,2015,False
257,Kevin Durant,West,NBA,2015,False
258,Marc Gasol,West,NBA,2015,False
259,Blake Griffin,West,NBA,2015,False
260,James Harden,West,NBA,2015,False
261,Damian Lillard,West,NBA,2015,False
262,Dirk Nowitzki,West,NBA,2015,False
263,Chris Paul,West,NBA,2015,False
264,Klay Thompson,West,NBA,2015,False
265,Russell Westbrook,West,NBA,2015,False
266,Carmelo Anthony,East,NBA,2014,False
267,Chris Bosh,East,NBA,2014,False
268,DeMar DeRozan,East,NBA,2014,False
269,Paul George,East,NBA,2014,False
