,season,award,player,age,tm,first,pts_won,pts_max,share,winner,seas_id,player_id
15,2024,dpoy,Rudy Gobert,31,MIN,72.0,433.0,495.0,0.875,True,31747,4199
28,2024,mip,Tyrese Maxey,23,PHI,51.0,319.0,495.0,0.644,True,31843,4893
42,2024,nba mvp,Nikola Jokić,28,DEN,79.0,926.0,990.0,0.935,True,31672,4352
51,2024,nba roy,Victor Wembanyama,20,SAS,99.0,495.0,495.0,1.0,True,31850,5209
57,2024,smoy,Naz Reid,24,MIN,45.0,352.0,495.0,0.711,True,31663,4771
83,2023,dpoy,Jaren Jackson Jr.,23,MEM,56.0,391.0,500.0,0.782,True,30733,4631
95,2023,mip,Lauri Markkanen,25,UTA,69.0,430.0,500.0,0.86,True,30871,4535
108,2023,nba mvp,Joel Embiid,28,PHI,73.0,915.0,1000.0,0.915,True,30764,4416
121,2023,nba roy,Paolo Banchero,20,ORL,98.0,494.0,500.0,0.988,True,30981,5089
127,2023,smoy,Malcolm Brogdon,30,BOS,60.0,408.0,500.0,0.816,True,30890,4423
137,2022,dpoy,Marcus Smart,27,BOS,37.0,257.0,500.0,0.514,True,30183,4275
148,2022,mip,Ja Morant,22,MEM,38.0,221.0,500.0,0.442,True,29959,4723
160,2022,nba mvp,Nikola Jokić,26,DEN,65.0,875.0,1000.0,0.875,True,30247,4352
172,2022,nba roy,Scottie Barnes,20,TOR,48.0,378.0,500.0,0.756,True,30324,5006
178,2022,smoy,Tyler Herro,22,MIA,96.0,488.0,500.0,0.976,True,30411,4796
191,2021,dpoy,Rudy Gobert,28,UTA,84.0,464.0,500.0,0.928,True,29529,4199
203,2021,mip,Julius Randle,26,NYK,98.0,493.0,500.0,0.986,True,29311,4266
228,2021,nba mvp,Nikola Jokić,25,DEN,91.0,971.0,1010.0,0.961,True,29456,4352
243,2021,nba roy,LaMelo Ball,19,CHO,84.0,465.0,495.0,0.939,True,29366,4858
247,2021,smoy,Jordan Clarkson,28,UTA,65.0,407.0,500.0,0.814,True,29298,4265
262,2020,dpoy,Giannis Antetokounmpo,25,MIL,75.0,432.0,500.0,0.864,True,28507,4164
274,2020,mip,Brandon Ingram,22,NOP,42.0,326.0,500.0,0.652,True,28348,4378
289,2020,nba mvp,Giannis Antetokounmpo,25,MIL,85.0,962.0,1010.0,0.952,True,28507,4164
301,2020,nba roy,Ja Morant,20,MEM,99.0,498.0,500.0,0.996,True,28537,4723
309,2020,smoy,Montrezl Harrell,26,LAC,58.0,397.0,500.0,0.794,True,28762,4349
318,2019,dpoy,Rudy Gobert,26,UTA,65.0,411.0,500.0,0.822,True,28147,4199
328,2019,mip,Pascal Siakam,24,TOR,86.0,469.0,500.0,0.938,True,28100,4436
350,2019,nba mvp,Giannis Antetokounmpo,24,MIL,78.0,941.0,1010.0,0.932,True,27809,4164
362,2019,nba roy,Luka Dončić,19,DAL,98.0,496.0,500.0,0.992,True,28015,4653
371,2019,smoy,Lou Williams,32,LAC,96.0,489.0,500.0,0.978,True,28013,3619
385,2018,dpoy,Rudy Gobert,25,UTA,89.0,466.0,505.0,0.923,True,27467,4199
402,2018,mip,Victor Oladipo,25,IND,99.0,499.0,505.0,0.988,True,27554,4217
434,2018,nba mvp,James Harden,28,HOU,86.0,965.0,1010.0,0.955,True,27201,3880
447,2018,nba roy,Ben Simmons,21,PHI,90.0,481.0,505.0,0.952,True,26962,4474
452,2018,smoy,Lou Williams,31,LAC,97.0,495.0,505.0,0.98,True,27326,3619
469,2017,dpoy,Draymond Green,26,GSW,73.0,434.0,500.0,0.868,True,26494,4085
478,2017,mip,Giannis Antetokounmpo,22,MIL,80.0,428.0,500.0,0.856,True,26526,4164
503,2017,nba mvp,Russell Westbrook,28,OKC,69.0,888.0,1010.0,0.879,True,26815,3849
514,2017,nba roy,Malcolm Brogdon,24,MIL,64.0,414.0,500.0,0.828,True,26692,4423
524,2017,smoy,Eric Gordon,28,HOU,46.0,358.0,500.0,0.716,True,26508,3815
537,2016,dpoy,Kawhi Leonard,24,SAS,84.0,547.0,650.0,0.842,True,26060,4032
554,2016,mip,CJ McCollum,24,POR,101.0,559.0,650.0,0.86,True,25847,4150
574,2016,nba mvp,Stephen Curry,27,GSW,131.0,1310.0,1310.0,1.0,True,26260,3903
584,2016,nba roy,Karl-Anthony Towns,20,MIN,130.0,650.0,650.0,1.0,True,26059,4339
593,2016,smoy,Jamal Crawford,35,LAC,51.0,341.0,650.0,0.525,True,25966,3258
612,2015,dpoy,Kawhi Leonard,23,SAS,37.0,333.0,645.0,0.516,True,25447,4032
631,2015,mip,Jimmy Butler,25,CHI,92.0,535.0,645.0,0.829,True,25402,4023
661,2015,nba mvp,Stephen Curry,26,GSW,100.0,1198.0,1300.0,0.922,True,25662,3903
673,2015,nba roy,Andrew Wiggins,19,MIN,110.0,604.0,650.0,0.929,True,25135,4223
680,2015,smoy,Lou Williams,28,TOR,78.0,502.0,650.0,0.772,True,25497,3619
694,2014,dpoy,Joakim Noah,28,CHI,100.0,555.0,625.0,0.888,True,24779,3763
711,2014,mip,Goran Dragić,27,PHO,65.0,408.0,630.0,0.648,True,24695,3817
742,2014,nba mvp,Kevin Durant,25,OKC,119.0,1232.0,1250.0,0.986,True,24828,3770
759,2014,nba roy,Michael Carter-Williams,22,PHI,104.0,569.0,620.0,0.918,True,24904,4182
768,2014,smoy,Jamal Crawford,33,LAC,57.0,421.0,625.0,0.674,True,24728,3258
786,2013,dpoy,Marc Gasol,28,MEM,30.0,212.0,605.0,0.35,True,24297,3835
807,2013,mip,Paul George,22,IND,52.0,311.0,600.0,0.518,True,24357,3968
840,2013,nba mvp,LeBron James,28,MIA,120.0,1207.0,1210.0,0.998,True,24275,3462
856,2013,nba roy,Damian Lillard,22,POR,121.0,605.0,605.0,1.0,True,24017,4077
866,2013,smoy,J.R. Smith,27,NYK,72.0,484.0,605.0,0.8,True,24140,3527
883,2012,dpoy,Tyson Chandler,29,NYK,45.0,311.0,605.0,0.514,True,23892,3359
903,2012,mip,Ryan Anderson,23,ORL,33.0,260.0,605.0,0.43,True,23823,3850
932,2012,nba mvp,LeBron James,27,MIA,85.0,1074.0,1210.0,0.888,True,23706,3462
947,2012,nba roy,Kyrie Irving,19,CLE,117.0,592.0,600.0,0.987,True,23691,4037
959,2012,smoy,James Harden,22,OKC,115.0,584.0,595.0,0.982,True,23594,3880
979,2011,dpoy,Dwight Howard,25,ORL,114.0,585.0,600.0,0.975,True,22919,3520
1004,2011,mip,Kevin Love,22,MIN,66.0,400.0,580.0,0.69,True,23088,3830
1035,2011,nba mvp,Derrick Rose,22,CHI,113.0,1182.0,1210.0,0.977,True,22905,3812
1048,2011,nba roy,Blake Griffin,21,LAC,118.0,590.0,590.0,1.0,True,22793,3920
1054,2011,smoy,Lamar Odom,31,LAL,96.0,513.0,585.0,0.877,True,23106,3201
